epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8416,1.34718,8.13988,1.75061,0.40688,0.6129,0.50711,0.26585,1.52246,7.75142,2.75087,0.000651852,0.000651852,0.000651852
2,143.065,1.175,2.0961,1.56033,0.33307,0.35484,0.25271,0.11353,2.86581,5.32125,5.04165,0.00129676,0.00129676,0.00129676
3,206.963,1.52712,1.89769,1.86613,0.00302,0.70968,0.00252,0.00084,2.9557,inf,15.6632,0.00191967,0.00191967,0.00191967
4,275.915,1.39558,1.51054,1.83271,0.33333,0.16129,0.15273,0.03514,2.70364,32.7292,5.75131,0.001901,0.001901,0.001901
5,336.099,1.39737,1.38113,1.75871,0.2729,0.67742,0.26265,0.16454,1.20458,11.9687,2.28256,0.001868,0.001868,0.001868
6,408.312,1.20482,1.13283,1.58589,0.50969,0.70968,0.51965,0.31653,1.20962,2.35227,2.05032,0.001835,0.001835,0.001835
7,483.974,1.32258,1.21501,1.6739,0.03401,0.22581,0.01185,0.00443,2.82349,6.74648,4.91635,0.001802,0.001802,0.001802
8,541.587,1.23831,1.08892,1.6122,0.32424,0.19355,0.1587,0.10666,2.34787,4.32982,3.97059,0.001769,0.001769,0.001769
9,601.025,1.17,0.96265,1.54332,0.48186,0.35484,0.33367,0.21138,2.24988,3.56267,3.40144,0.001736,0.001736,0.001736
10,669.087,1.22337,1.1173,1.60982,0.87228,0.93548,0.94977,0.6686,0.92724,1.1258,1.72877,0.001703,0.001703,0.001703
11,740.776,1.06289,0.92339,1.52213,0.89877,0.70968,0.87008,0.57006,1.22622,1.03358,2.05369,0.00167,0.00167,0.00167
12,806.987,1.05487,0.85391,1.48324,0.9035,0.87097,0.94766,0.6095,1.28722,0.93121,2.0766,0.001637,0.001637,0.001637
13,881.483,1.04637,0.83012,1.4344,0.90111,0.83871,0.8732,0.61708,1.33746,1.20778,2.33927,0.001604,0.001604,0.001604
14,955.97,1.08512,0.8462,1.46855,0.8927,0.90323,0.92586,0.60632,1.25795,1.10379,2.03968,0.001571,0.001571,0.001571
15,1022.37,1.02635,0.89628,1.46748,0.71547,0.87097,0.82958,0.56734,1.02766,0.94218,1.6954,0.001538,0.001538,0.001538
16,1083.44,1.09589,0.9125,1.47275,0.7462,0.96774,0.84226,0.56698,0.98617,0.92125,1.67251,0.001505,0.001505,0.001505
17,1150.21,1.00577,0.84551,1.37941,0.77329,0.90323,0.91332,0.69594,0.92837,0.95586,1.53674,0.001472,0.001472,0.001472
18,1217.76,1.03013,0.8657,1.43855,1,0.91825,0.98093,0.7437,0.85361,0.6893,1.65164,0.001439,0.001439,0.001439
19,1285.67,0.93192,0.80405,1.37501,0.85338,0.93548,0.95708,0.71376,0.90011,0.77232,1.57736,0.001406,0.001406,0.001406
20,1348.56,0.97408,0.73844,1.3342,0.96767,0.48387,0.71545,0.43758,1.76309,1.69771,2.38593,0.001373,0.001373,0.001373
21,1413.99,0.94853,0.73306,1.3953,0.55518,0.6129,0.57264,0.25832,2.27207,2.14994,3.33773,0.00134,0.00134,0.00134
22,1480.86,0.8733,0.66673,1.32328,0.91623,0.70581,0.81049,0.5277,1.43833,1.70516,1.94341,0.001307,0.001307,0.001307
23,1542.89,0.9787,0.8159,1.39175,0.92719,0.82186,0.93271,0.73491,0.81812,0.76667,1.5005,0.001274,0.001274,0.001274
24,1607.94,0.88646,0.80715,1.34445,0.88526,0.93548,0.9419,0.72752,0.87623,0.64912,1.53132,0.001241,0.001241,0.001241
25,1682.53,0.95258,0.76362,1.37713,0.87072,0.93548,0.95909,0.73403,0.90212,0.75561,1.53727,0.001208,0.001208,0.001208
26,1753.44,0.80627,0.68777,1.29533,0.98821,0.96774,0.98614,0.77373,0.75632,0.6159,1.51613,0.001175,0.001175,0.001175
27,1819.62,0.83514,0.67866,1.28628,0.97165,0.93548,0.98158,0.78351,0.77686,0.74525,1.4457,0.001142,0.001142,0.001142
28,1878.9,0.87734,0.70937,1.26194,0.88025,0.94871,0.96365,0.7573,0.81658,0.6789,1.42841,0.001109,0.001109,0.001109
29,1948.68,0.84843,0.62645,1.29945,0.96711,0.96774,0.98947,0.80867,0.74204,0.59857,1.3599,0.001076,0.001076,0.001076
30,2018.99,0.80576,0.62818,1.27986,0.92117,0.90323,0.95729,0.78126,0.80437,0.6212,1.5029,0.001043,0.001043,0.001043
31,2083.36,0.8226,0.60357,1.23017,0.88709,0.90323,0.96554,0.80393,0.72095,0.68276,1.35174,0.00101,0.00101,0.00101
32,2147.46,0.77294,0.59826,1.22532,0.97984,0.90323,0.9637,0.77248,0.74501,0.64111,1.3955,0.000977,0.000977,0.000977
33,2217.59,0.82354,0.63595,1.23097,0.85731,0.96909,0.98165,0.77343,0.88425,0.6392,1.52635,0.000944,0.000944,0.000944
34,2286.67,0.80562,0.64826,1.25905,0.97566,1,0.995,0.78996,0.75763,0.57567,1.39,0.000911,0.000911,0.000911
35,2352.32,0.78165,0.57084,1.25779,0.96199,1,0.99312,0.78406,0.75593,0.48132,1.42244,0.000878,0.000878,0.000878
36,2413.81,0.79925,0.58773,1.25196,0.99042,0.96774,0.96874,0.79811,0.75475,0.50839,1.36978,0.000845,0.000845,0.000845
37,2483.07,0.75993,0.59017,1.23808,0.90699,1,0.98714,0.79088,0.8026,0.53864,1.41346,0.000812,0.000812,0.000812
38,2552.95,0.73375,0.57958,1.19085,0.99313,0.93548,0.98552,0.81141,0.71091,0.51562,1.37451,0.000779,0.000779,0.000779
39,2610.9,0.77141,0.71974,1.28695,0.99773,0.93548,0.9906,0.79668,0.73416,0.50821,1.34317,0.000746,0.000746,0.000746
40,2669.96,0.70999,0.56424,1.1746,0.88296,1,0.97945,0.80208,0.6575,0.53279,1.27192,0.000713,0.000713,0.000713
41,2738.94,0.69361,0.5229,1.18661,0.88498,0.99293,0.98252,0.81225,0.69866,0.56921,1.34296,0.00068,0.00068,0.00068
42,2809.87,0.68047,0.53106,1.12344,0.96434,0.83871,0.97172,0.80588,0.7529,0.59398,1.41331,0.000647,0.000647,0.000647
43,2869.4,0.78212,0.58697,1.23878,0.89877,1,0.98674,0.82216,0.73984,0.50901,1.35768,0.000614,0.000614,0.000614
44,2937.55,0.6789,0.55022,1.14187,1,0.95448,0.99318,0.83169,0.68083,0.46609,1.29037,0.000581,0.000581,0.000581
45,3007.18,0.74748,0.53564,1.16032,0.995,0.96774,0.99235,0.79934,0.7592,0.48603,1.36485,0.000548,0.000548,0.000548
46,3077.92,0.71221,0.52976,1.19754,1,0.99231,0.995,0.81451,0.7304,0.49039,1.33847,0.000515,0.000515,0.000515
47,3136.25,0.68096,0.50551,1.12984,1,0.92772,0.98532,0.83154,0.68141,0.48064,1.3246,0.000482,0.000482,0.000482
48,3206.39,0.66199,0.49882,1.1383,0.96794,0.96774,0.99318,0.8365,0.67575,0.48398,1.30937,0.000449,0.000449,0.000449
49,3277.33,0.6606,0.47003,1.13859,0.96968,0.96774,0.99406,0.84898,0.64138,0.43047,1.29241,0.000416,0.000416,0.000416
50,3346.79,0.65431,0.45694,1.13473,0.96601,1,0.995,0.84008,0.63732,0.42881,1.24875,0.000383,0.000383,0.000383
51,3419.51,0.66389,0.50567,1.17032,0.96555,1,0.995,0.82256,0.63347,0.44308,1.21736,0.00035,0.00035,0.00035
52,3494.52,0.66197,0.51599,1.1609,0.99581,1,0.995,0.84714,0.6572,0.40818,1.23688,0.000317,0.000317,0.000317
53,3567.66,0.62561,0.46149,1.16363,1,0.99541,0.995,0.85255,0.63764,0.39895,1.25148,0.000284,0.000284,0.000284
54,3632.5,0.58052,0.45684,1.06735,0.99975,0.96774,0.98947,0.85744,0.60854,0.41634,1.24647,0.000251,0.000251,0.000251
55,3690.09,0.58462,0.43814,1.07858,0.99604,0.96774,0.99157,0.83701,0.65654,0.40183,1.27597,0.000218,0.000218,0.000218
56,3763.73,0.58755,0.39193,1.06906,0.99374,0.96774,0.99014,0.86615,0.61276,0.40223,1.22584,0.000185,0.000185,0.000185
57,3831.73,0.57356,0.39573,1.12546,0.99838,0.96774,0.99157,0.86209,0.6026,0.39762,1.20995,0.000152,0.000152,0.000152
58,3889.7,0.54863,0.40383,1.04223,0.99196,0.96774,0.99083,0.84615,0.61248,0.40231,1.22051,0.000119,0.000119,0.000119
59,3948.04,0.60917,0.44421,1.11955,0.99253,0.96774,0.99014,0.85183,0.62095,0.40884,1.23602,8.6e-05,8.6e-05,8.6e-05
60,4009.68,0.6152,0.4312,1.11488,0.99061,0.96774,0.99014,0.85013,0.61017,0.40933,1.23234,5.3e-05,5.3e-05,5.3e-05
