title,author_gender,Gender,type
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux.book --- léon,1,0,1
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux.book --- zoé,1,1,1
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux.book --- césaro,1,1,1
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux.book --- aglaure,1,1,1
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux.book --- grignotte,1,1,2
1835_Woillez-Catherine_Le-Robinson-des-demoiselles.book --- emma,1,1,1
1835_Woillez-Catherine_Le-Robinson-des-demoiselles.book --- m. de surville,1,1,0
1835_Woillez-Catherine_Le-Robinson-des-demoiselles.book --- azor,1,0,2
1835_Woillez-Catherine_Le-Robinson-des-demoiselles.book --- dominique,1,1,0
1835_Woillez-Catherine_Le-Robinson-des-demoiselles.book --- henriette,1,1,1
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- jean-paul,0,1,1
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- le marquis de la galoche,0,0,0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- jean-paul et petit-jacques,0,0,5
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- petit-jacques,0,0,1
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- panouille,0,1,1
1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations.book --- marie,1,1,1
1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations.book --- léontine,1,1,1
1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations.book --- édouard,1,1,0
1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations.book --- madame de vardreck,1,1,0
1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations.book --- noël,1,0,0
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette.book --- marie,0,1,1
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette.book --- carl,0,1,0
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette.book --- casse-noisette,0,0,3
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette.book --- le parrain drosselmayer,0,1,0
1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette.book --- fritz,0,0,1
1846_Musset-Paul-de_Monsieur-le-Vent-et-Madame-la-Pluie.book --- jean-pierre,0,1,0
1846_Musset-Paul-de_Monsieur-le-Vent-et-Madame-la-Pluie.book --- pierrot,0,0,1
1846_Musset-Paul-de_Monsieur-le-Vent-et-Madame-la-Pluie.book --- m. le vent,0,0,0
1846_Musset-Paul-de_Monsieur-le-Vent-et-Madame-la-Pluie.book --- madame la pluie,0,1,0
1846_Musset-Paul-de_Monsieur-le-Vent-et-Madame-la-Pluie.book --- claudine,0,1,0
1848_Woillez-Catherine_Edma-et-Marguerite-ou-les-Ruines-de-Chatillon-d-Azergues.book --- edma,1,1,1
1848_Woillez-Catherine_Edma-et-Marguerite-ou-les-Ruines-de-Chatillon-d-Azergues.book --- luigi,1,0,0
1848_Woillez-Catherine_Edma-et-Marguerite-ou-les-Ruines-de-Chatillon-d-Azergues.book --- franck,1,0,0
1848_Woillez-Catherine_Edma-et-Marguerite-ou-les-Ruines-de-Chatillon-d-Azergues.book --- mme de senneville,1,1,0
1848_Woillez-Catherine_Edma-et-Marguerite-ou-les-Ruines-de-Chatillon-d-Azergues.book --- marguerite,1,1,0
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- gribouille,1,0,1
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- m. bourdon,1,1,2
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- char3,1,1,5
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- du roi bourdon,1,0,5
1851_Sand-George_Histoire-du-veritable-Gribouille.book --- char5,1,1,5
1852_Carraud-Zulma-Tourangin-Mme_La-petite-Jeanne.book --- jeanne,1,1,1
1852_Carraud-Zulma-Tourangin-Mme_La-petite-Jeanne.book --- grand louis,1,1,0
1852_Carraud-Zulma-Tourangin-Mme_La-petite-Jeanne.book --- le père tixier,1,1,0
1852_Carraud-Zulma-Tourangin-Mme_La-petite-Jeanne.book --- la mère nannette,1,1,0
1852_Carraud-Zulma-Tourangin-Mme_La-petite-Jeanne.book --- maître tixier,1,1,0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- clotilde,1,1,0
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- valentine,1,1,1
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- bérangère,1,1,1
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- lionel,1,0,1
1854_Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse.book --- léon,1,1,0
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- pierrot,0,1,2
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- roi de bohême,0,0,0
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- fleur - d' amandier,0,1,1
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- le prince azor,0,1,0
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot.book --- roi de bohême,0,0,0
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance.book --- le père ignace,0,1,0
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance.book --- adeline,0,1,1
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance.book --- marie,0,1,1
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance.book --- piétro,0,0,0
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance.book --- antonio,0,1,0
1858_Gouraud-Julie_Les-Vacances-d-Yvonne.book --- yvonne,1,1,1
1858_Gouraud-Julie_Les-Vacances-d-Yvonne.book --- netta,1,1,1
1858_Gouraud-Julie_Les-Vacances-d-Yvonne.book --- madame de néris,1,1,0
1858_Gouraud-Julie_Les-Vacances-d-Yvonne.book --- gustave,1,0,1
1858_Gouraud-Julie_Les-Vacances-d-Yvonne.book --- hélène,1,1,1
1858_Segur-comtesse-de_Les-Petites-Filles-Modeles.book --- sophie,1,1,1
1858_Segur-comtesse-de_Les-Petites-Filles-Modeles.book --- marguerite,1,1,1
1858_Segur-comtesse-de_Les-Petites-Filles-Modeles.book --- madeleine,1,1,1
1858_Segur-comtesse-de_Les-Petites-Filles-Modeles.book --- camille,1,1,1
1858_Segur-comtesse-de_Les-Petites-Filles-Modeles.book --- mme de rosbourg,1,1,0
