;Year;Author;Title;canon;Author gender;Illustrations
;1833;Girardin Delphine de;Contes d’une vieille fille a ses neveux;non_canon;female;Yes
;1835;Woillez Catherine ;Le Robinson des demoiselles;non_canon;female;Two at the beginning
;1843;Desnoyers Louis;Les aventures de Jean Paul Choppart;non_canon;male;Yes
;1843;Woillez Catherine;Leontine et Marie ou les Deux éducations;non_canon;female;Yes
;1845;Dumas Alexandre ;Histoire d un Casse noisette;canon;male;Yes
;1846;Musset Paul de;Monsieur le Vent et Madame la Pluie;non_canon;male;Yes
;1848;Woillez Catherine;Edma et Marguerite ou les Ruines de Chatillon d Azergues;non_canon;female;Yes
;1851;Sand George ;Histoire du véritable Gribouille;canon;female;Yes (wikisource)
;1852;Carraud Zulma;Tourangin Mme La petite Jeanne;non_canon;female;Yes
;1854;Bassanville Anais de ;Les Primeurs de la vie ou Bonheurs joies et douleurs de la jeunesse;non_canon;female;Yes
;1854;Dumas Alexandre;La jeunesse de Pierrot;canon;male;Yes
;1855;Solignac Armand de ;Le Gâteau des rois souvenirs d enfance;non_canon;male;One at the beginning
;1858;Gouraud Julie;Les Vacances d Yvonne;non_canon;female;
;1858;Pressense Elise de ;Rosa;non_canon;female;
;1858;Segur comtesse de ;Les Malheurs de Sophie;non_canon;female;Yes (wikisource)
;1858;Segur comtesse de ;Les Petites Filles Modèles;non_canon;female;Yes (wikisource)
;1859;Segur comtesse de ;Les Vacances;non_canon;female;Yes
;1860;Sauquet Aricie Courbatere Mme ;Les Veillées du pensionnat;non_canon;female;Yes (poche)
;1860;Segur comtesse de ;Les Mémoires d un âne;non_canon;female;Yes (wikisource)
;1861;Segur comtesse de ;Pauvre Blaise;non_canon;female;Yes
;1862;Leneveux Louise ;Soirées en famille lectures pour la jeunesse;non_canon;female;Yes
;1862;Segur comtesse de ;La soeur de Gribouille;non_canon;female;Yes
;1863;Farrenc Cesarie;La jalousie;non_canon;female;One at the beginning
;1864;Segur comtesse de ;Les deux nigauds;non_canon;female;Yes
;1864;Ribelle Charles de ;Les Confidences de Gribouille;non_canon;male;Yes
;1864;Segur comtesse de ;François le Bossu;non_canon;female;Yes
;1865;Kaempfen Albert ;La Tasse a the;non_canon;male;Yes
;1866;Gouraud Julie ;Mémoires d'un caniche;non_canon;female;Yes
;1866;Muller Rene ;Les Enfants gâtés;non_canon;male;One at the beginning
;1866;Segur comtesse de ;Jean qui grogne et Jean qui rit;non_canon;female;Yes
;1866;Segur comtesse de ;Un Bon Petit Diable;non_canon;female;Yes
;1867;Gouraud Julie ;Le petit colporteur;non_canon;female;Yes
