title,text_id,char_id,char_name,type,Gender
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.book --- étienne,1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,0,étienne,1.0,0.0
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.book --- m. duclair,1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,1,m. duclair,0.0,0.0
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.book --- thérèse,1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,2,thérèse,1.0,1.0
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.book --- cabarratte,1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,3,cabarratte,0.0,0.0
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme.book --- florence,1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,4,florence,1.0,1.0
1867_Sauquet-Victor_L-Enfant-des-montagnes.book --- julien,1867_Sauquet-Victor_L-Enfant-des-montagnes,0,julien,0.0,0.0
1867_Sauquet-Victor_L-Enfant-des-montagnes.book --- joseph,1867_Sauquet-Victor_L-Enfant-des-montagnes,1,joseph,0.0,0.0
1867_Sauquet-Victor_L-Enfant-des-montagnes.book --- abd - el - kader,1867_Sauquet-Victor_L-Enfant-des-montagnes,2,abd - el - kader,0.0,0.0
1867_Sauquet-Victor_L-Enfant-des-montagnes.book --- goliath,1867_Sauquet-Victor_L-Enfant-des-montagnes,3,goliath,0.0,0.0
1867_Sauquet-Victor_L-Enfant-des-montagnes.book --- les ouled - rhia,1867_Sauquet-Victor_L-Enfant-des-montagnes,4,les ouled - rhia,5.0,0.0
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.book --- florent,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,0,florent,0.0,0.0
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.book --- m. bedlok,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,1,m. bedlok,0.0,0.0
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.book --- perrin,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,2,perrin,1.0,0.0
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.book --- germaine,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,3,germaine,1.0,1.0
1874_Stolz-Madame-de_Les-Poches-de-mon-oncle.book --- lucette,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,4,lucette,1.0,1.0
1887_Malot-Hector_Sans-famille.book --- vitalis,1887_Malot-Hector_Sans-famille,0,vitalis,0.0,0.0
1887_Malot-Hector_Sans-famille.book --- mattia,1887_Malot-Hector_Sans-famille,1,mattia,1.0,0.0
1887_Malot-Hector_Sans-famille.book --- madame milligan,1887_Malot-Hector_Sans-famille,2,madame milligan,0.0,1.0
1887_Malot-Hector_Sans-famille.book --- carrory,1887_Malot-Hector_Sans-famille,3,carrory,0.0,0.0
1887_Malot-Hector_Sans-famille.book --- char4,1887_Malot-Hector_Sans-famille,4,char4,5,
