Year;Author;Title;date;auteur;titre;canon;Author gender;Illustrations
1833;Girardin Delphine de;Contes d’une vieille fille a ses neveux;1833;girardin delphine de;contes d une vieille fille a ses neveux;non_canon;female;Yes
1835;Woillez Catherine ;Le Robinson des demoiselles;1835;woillez catherine;le robinson des demoiselles;non_canon;female;Two at the beginning
1843;Desnoyers Louis;Les aventures de Jean Paul Choppart;1843;desnoyers louis;les aventures de jean paul choppart;non_canon;male;Yes
1843;Woillez Catherine;Leontine et Marie ou les Deux éducations;1843;woillez catherine;leontine et marie ou les deux educations;non_canon;female;Yes
1845;Dumas Alexandre ;Histoire d un Casse noisette;1845;dumas alexandre;histoire d un casse noisette;canon;male;Yes
1846;Musset Paul de;Monsieur le Vent et Madame la Pluie;1846;musset paul de;monsieur le vent et madame la pluie;non_canon;male;Yes
1848;Woillez Catherine;Edma et Marguerite ou les Ruines de Chatillon d Azergues;1848;woillez catherine;edma et marguerite ou les ruines de chatillon d azergues;non_canon;female;Yes
1851;Sand George ;Histoire du véritable Gribouille;1851;sand george;histoire du veritable gribouille;canon;female;Yes (wikisource)
1852;Carraud Zulma;Tourangin Mme La petite Jeanne;1852;carraud zulma tourangin mme;la petite jeanne;non_canon;female;Yes
1854;Bassanville Anais de ;Les Primeurs de la vie ou Bonheurs joies et douleurs de la jeunesse;1854;bassanville anais de;les primeurs de la vie ou bonheurs joies et douleurs de la jeunesse;non_canon;female;Yes
1854;Dumas Alexandre;La jeunesse de Pierrot;1854;dumas alexandre;la jeunesse de pierrot;canon;male;Yes
1855;Solignac Armand de ;Le Gâteau des rois souvenirs d enfance;1855;solignac armand de;le gateau des rois souvenirs d enfance;non_canon;male;One at the beginning
1858;Gouraud Julie;Les Vacances d Yvonne;1858;gouraud julie;les vacances d yvonne;non_canon;female;
1858;Pressense Elise de ;Rosa;1858;pressense elise de;rosa;non_canon;female;
1858;Segur comtesse de ;Les Malheurs de Sophie;1858;segur comtesse de;les malheurs de sophie;non_canon;female;Yes (wikisource)
1858;Segur comtesse de ;Les Petites Filles Modèles;1858;segur comtesse de;les petites filles modeles;non_canon;female;Yes (wikisource)
1859;Segur comtesse de ;Les Vacances;1859;segur comtesse de;les vacances;non_canon;female;Yes
1860;Sauquet Aricie Courbatere Mme ;Les Veillées du pensionnat;1860;sauquet aricie courbatere mme;les veillees du pensionnat;non_canon;female;Yes (poche)
1860;Segur comtesse de ;Les Mémoires d un âne;1860;segur comtesse de;les memoires d un ane;non_canon;female;Yes (wikisource)
1861;Segur comtesse de ;Pauvre Blaise;1861;segur comtesse de;pauvre blaise;non_canon;female;Yes
1862;Leneveux Louise ;Soirées en famille lectures pour la jeunesse;1862;leneveux louise;soirees en famille  lectures pour la jeunesse;non_canon;female;Yes
1862;Segur comtesse de ;La soeur de Gribouille;1862;segur comtesse de;la soeur de gribouille;non_canon;female;Yes
1863;Farrenc Cesarie;La jalousie;1863;farrenc cesarie;la jalousie;non_canon;female;One at the beginning
1864;Segur comtesse de ;Les deux nigauds;1863;segur comtesse de;les deux nigauds;non_canon;female;Yes
1864;Ribelle Charles de ;Les Confidences de Gribouille;1864;ribelle charles de;les confidences de gribouille;non_canon;male;Yes
1864;Segur comtesse de ;François le Bossu;1864;segur comtesse de;françois le bossu;non_canon;female;Yes
1865;Kaempfen Albert ;La Tasse a the;1865;kaempfen albert;la tasse a the;non_canon;male;Yes
1866;Gouraud Julie ;Mémoires d'un caniche;1866;gouraud julie;mémoires d'un caniche;non_canon;female;Yes
1866;Muller Rene ;Les Enfants gâtés;1866;muller rene;les enfants gates;non_canon;male;One at the beginning
1866;Segur comtesse de ;Jean qui grogne et Jean qui rit;1866;segur comtesse de;jean qui grogne et jean qui rit;non_canon;female;Yes
1866;Segur comtesse de ;Un Bon Petit Diable;1866;segur comtesse de;un bon petit diable;non_canon;female;Yes
1867;Gouraud Julie ;Le petit colporteur;1867;gouraud julie;le petit colporteur;non_canon;female;Yes
1867;Houssaye Arsene ;La Pantoufle de Cendrillon ou Suzanne aux coquelicots;1867;houssaye arsene;la pantoufle de cendrillon ou suzanne aux coquelicots;non_canon;male;Yes
1867;Marcel Jeanne ;Les petits vagabonds;1867;marcel jeanne;les petits vagabonds;non_canon;female;Yes
1867;Pitray Olga de Segur;Les enfants des Tuileries;1867;pitray olga de segur;les enfants des tuileries;non_canon;female;Yes
1867;Pressense Elise de ;Deux ans au lycée;1867;pressense elise de;deux ans au lycee;non_canon;female;
1867;Sauquet Victor ;L’Enfant des montagnes;1867;sauquet victor;l enfant des montagnes;non_canon;male;
1867;Savigny Laurence de ;Le Robinson des Alpes;1867;savigny laurence de;le robinson des alpes;non_canon;female;Yes
1867;Segur comtesse de ;Le Mauvais Génie;;;;;;
1868;Gouraud Julie ;L’Enfant du guide;1868;gouraud julie;l enfant du guide;non_canon;female;Yes
1869;Carraud Zulma Tourangin Mme;Les Gouters de la grand mere;1869;carraud zulma tourangin mme;les gouters de la grand mere;non_canon;female;Yes
1872;Gouraud Julie ;Le Livre de maman;1872;gouraud julie;le livre de maman;non_canon;female;Yes
1873;1872 Gouraud Julie ;Petite et grande;1873;gouraud julie;petite et grande;non_canon;female;Yes
1873;Pressense Elise de ;Un petit monde d’enfants;1873;pressense elise de;un petit monde d enfants;non_canon;female;
1873;Sannois Comtesse de ;Les Soirées a la maison;1873;sannois comtesse de;les soirees a la maison;non_canon;female;Yes
